"STN_ID","T6_MIN_WD","T6_MAX_WD","T6_AVG_WD","T6_STD_WD","T6_MIN_WS","T6_MAX_WS","T6_AVG_WS","T6_STD_WS","T6_MIN_PA","T6_MAX_PA","T6_AVG_PA","T6_STD_PA","T6_MIN_PS","T6_MAX_PS","T6_AVG_PS","T6_STD_PS","T6_MIN_TA","T6_MAX_TA","T6_AVG_TA","T6_STD_TA","T6_MIN_HM","T6_MAX_HM","T6_AVG_HM","T6_STD_HM","T6_MIN_PV","T6_MAX_PV","T6_AVG_PV","T6_STD_PV","T6_MAX_RN","T6_MAX_RN_DAY","T6_MIN_CA_TOT","T6_MAX_CA_TOT","T6_AVG_CA_TOT","T6_STD_CA_TOT","T6_MIN_CA_MID","T6_MAX_CA_MID","T6_AVG_CA_MID","T6_STD_CA_MID","T6_MIN_CH_MIN","T6_MAX_CH_MIN","T6_AVG_CH_MIN","T6_STD_CH_MIN","T6_SUM_SS","T6_SUM_SI","T5_MIN_WD","T5_MAX_WD","T5_AVG_WD","T5_STD_WD","T5_MIN_WS","T5_MAX_WS","T5_AVG_WS","T5_STD_WS","T5_MIN_PA","T5_MAX_PA","T5_AVG_PA","T5_STD_PA","T5_MIN_PS","T5_MAX_PS","T5_AVG_PS","T5_STD_PS","T5_MIN_TA","T5_MAX_TA","T5_AVG_TA","T5_STD_TA","T5_MIN_HM","T5_MAX_HM","T5_AVG_HM","T5_STD_HM","T5_MIN_PV","T5_MAX_PV","T5_AVG_PV","T5_STD_PV","T5_MAX_RN","T5_MAX_RN_DAY","T5_MIN_CA_TOT","T5_MAX_CA_TOT","T5_AVG_CA_TOT","T5_STD_CA_TOT","T5_MIN_CA_MID","T5_MAX_CA_MID","T5_AVG_CA_MID","T5_STD_CA_MID","T5_MIN_CH_MIN","T5_MAX_CH_MIN","T5_AVG_CH_MIN","T5_STD_CH_MIN","T5_SUM_SS","T5_SUM_SI","T4_MIN_WD","T4_MAX_WD","T4_AVG_WD","T4_STD_WD","T4_MIN_WS","T4_MAX_WS","T4_AVG_WS","T4_STD_WS","T4_MIN_PA","T4_MAX_PA","T4_AVG_PA","T4_STD_PA","T4_MIN_PS","T4_MAX_PS","T4_AVG_PS","T4_STD_PS","T4_MIN_TA","T4_MAX_TA","T4_AVG_TA","T4_STD_TA","T4_MIN_HM","T4_MAX_HM","T4_AVG_HM","T4_STD_HM","T4_MIN_PV","T4_MAX_PV","T4_AVG_PV","T4_STD_PV","T4_MAX_RN","T4_MAX_RN_DAY","T4_MIN_CA_TOT","T4_MAX_CA_TOT","T4_AVG_CA_TOT","T4_STD_CA_TOT","T4_MIN_CA_MID","T4_MAX_CA_MID","T4_AVG_CA_MID","T4_STD_CA_MID","T4_MIN_CH_MIN","T4_MAX_CH_MIN","T4_AVG_CH_MIN","T4_STD_CH_MIN","T4_SUM_SS","T4_SUM_SI","T3_MIN_WD","T3_MAX_WD","T3_AVG_WD","T3_STD_WD","T3_MIN_WS","T3_MAX_WS","T3_AVG_WS","T3_STD_WS","T3_MIN_PA","T3_MAX_PA","T3_AVG_PA","T3_STD_PA","T3_MIN_PS","T3_MAX_PS","T3_AVG_PS","T3_STD_PS","T3_MIN_TA","T3_MAX_TA","T3_AVG_TA","T3_STD_TA","T3_MIN_HM","T3_MAX_HM","T3_AVG_HM","T3_STD_HM","T3_MIN_PV","T3_MAX_PV","T3_AVG_PV","T3_STD_PV","T3_MAX_RN","T3_MAX_RN_DAY","T3_MIN_CA_TOT","T3_MAX_CA_TOT","T3_AVG_CA_TOT","T3_STD_CA_TOT","T3_MIN_CA_MID","T3_MAX_CA_MID","T3_AVG_CA_MID","T3_STD_CA_MID","T3_MIN_CH_MIN","T3_MAX_CH_MIN","T3_AVG_CH_MIN","T3_STD_CH_MIN","T3_SUM_SS","T3_SUM_SI","T2_MIN_WD","T2_MAX_WD","T2_AVG_WD","T2_STD_WD","T2_MIN_WS","T2_MAX_WS","T2_AVG_WS","T2_STD_WS","T2_MIN_PA","T2_MAX_PA","T2_AVG_PA","T2_STD_PA","T2_MIN_PS","T2_MAX_PS","T2_AVG_PS","T2_STD_PS","T2_MIN_TA","T2_MAX_TA","T2_AVG_TA","T2_STD_TA","T2_MIN_HM","T2_MAX_HM","T2_AVG_HM","T2_STD_HM","T2_MIN_PV","T2_MAX_PV","T2_AVG_PV","T2_STD_PV","T2_MAX_RN","T2_MAX_RN_DAY","T2_MIN_CA_TOT","T2_MAX_CA_TOT","T2_AVG_CA_TOT","T2_STD_CA_TOT","T2_MIN_CA_MID","T2_MAX_CA_MID","T2_AVG_CA_MID","T2_STD_CA_MID","T2_MIN_CH_MIN","T2_MAX_CH_MIN","T2_AVG_CH_MIN","T2_STD_CH_MIN","T2_SUM_SS","T2_SUM_SI","T1_MIN_WD","T1_MAX_WD","T1_AVG_WD","T1_STD_WD","T1_MIN_WS","T1_MAX_WS","T1_AVG_WS","T1_STD_WS","T1_MIN_PA","T1_MAX_PA","T1_AVG_PA","T1_STD_PA","T1_MIN_PS","T1_MAX_PS","T1_AVG_PS","T1_STD_PS","T1_MIN_TA","T1_MAX_TA","T1_AVG_TA","T1_STD_TA","T1_MIN_HM","T1_MAX_HM","T1_AVG_HM","T1_STD_HM","T1_MIN_PV","T1_MAX_PV","T1_AVG_PV","T1_STD_PV","T1_MAX_RN","T1_MAX_RN_DAY","T1_MIN_CA_TOT","T1_MAX_CA_TOT","T1_AVG_CA_TOT","T1_STD_CA_TOT","T1_MIN_CA_MID","T1_MAX_CA_MID","T1_AVG_CA_MID","T1_STD_CA_MID","T1_MIN_CH_MIN","T1_MAX_CH_MIN","T1_AVG_CH_MIN","T1_STD_CH_MIN","T1_SUM_SS","T1_SUM_SI","T0_MIN_WD","T0_MAX_WD","T0_AVG_WD","T0_STD_WD","T0_MIN_WS","T0_MAX_WS","T0_AVG_WS","T0_STD_WS","T0_MIN_PA","T0_MAX_PA","T0_AVG_PA","T0_STD_PA","T0_MIN_PS","T0_MAX_PS","T0_AVG_PS","T0_STD_PS","T0_MIN_TA","T0_MAX_TA","T0_AVG_TA","T0_STD_TA","T0_MIN_HM","T0_MAX_HM","T0_AVG_HM","T0_STD_HM","T0_MIN_PV","T0_MAX_PV","T0_AVG_PV","T0_STD_PV","T0_MAX_RN","T0_MAX_RN_DAY","T0_MIN_CA_TOT","T0_MAX_CA_TOT","T0_AVG_CA_TOT","T0_STD_CA_TOT","T0_MIN_CA_MID","T0_MAX_CA_MID","T0_AVG_CA_MID","T0_STD_CA_MID","T0_MIN_CH_MIN","T0_MAX_CH_MIN","T0_AVG_CH_MIN","T0_STD_CH_MIN","T0_SUM_SS","T0_SUM_SI","month","Y","DISTANCE_RIVER"
"108",5,36,23,12,1,3,2,1,1006,1008,1007,1,1016,1018,1017,1,16,23,20,2,42,69,55,9,12,13,12,1,0,0,0,5,4,2,0,5,4,2,8,10,9,1,4,10,5,9,6,1,1,3,2,0,1008,1009,1009,1,1018,1019,1019,0,14,21,16,2,48,79,68,10,12,13,12,0,0,0,0,3,0,1,0,3,0,1,10,10,10,0,4,6,0,36,17,13,0,2,1,1,1007,1009,1008,1,1016,1019,1017,1,18,24,21,2,38,65,51,10,10,14,12,1,0,0,3,5,4,1,0,5,3,2,9,10,9,0,4,11,2,7,5,1,1,3,2,1,1009,1010,1010,1,1019,1021,1020,1,15,19,16,1,58,76,72,5,13,14,13,0,0,0,5,9,7,1,0,9,3,4,12,35,30,9,0,3,0,29,16,9,0,2,1,1,1007,1010,1008,1,1017,1020,1018,1,18,24,21,2,37,64,50,9,10,13,12,1,0,0,0,7,3,2,0,4,1,1,10,35,14,9,6,12,5,9,6,2,1,3,2,0,1006,1008,1007,1,1016,1018,1017,1,15,21,16,2,70,94,82,7,13,17,15,1,5,5,0,9,4,3,0,9,3,3,9,30,12,7,2,4,20,29,24,2,1,5,3,1,1003,1005,1003,1,1012,1015,1013,1,19,23,22,1,52,83,63,9,15,18,16,1,1,6,4,10,6,2,2,8,4,2,7,10,9,1,3,11,"09","0",0
"146",23,36,29,3,1,4,3,1,1008,1013,1010,2,1015,1019,1017,2,9,14,12,1,41,73,61,9,6,11,8,1,0,40,0,8,3,3,0,8,3,3,10,10,10,0,3,4,14,34,24,7,0,4,2,1,1011,1014,1012,1,1017,1021,1019,1,7,17,13,3,29,83,49,18,5,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,25,13,8,0,2,1,0,1013,1015,1014,0,1020,1021,1021,0,7,17,9,4,47,84,71,13,8,9,8,0,0,0,0,8,2,3,0,2,0,1,10,10,10,0,3,5,0,34,17,11,0,2,1,0,1012,1015,1013,1,1018,1021,1019,1,10,18,15,3,45,90,62,17,9,11,10,1,0,0,6,10,7,1,0,4,1,1,10,10,10,0,2,5,0,16,3,7,0,1,0,0,1015,1016,1015,0,1021,1022,1022,0,8,19,11,3,42,93,82,16,9,11,10,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,3,4,0,34,21,11,0,2,1,1,1014,1016,1015,1,1020,1023,1021,1,12,22,17,4,38,89,58,20,9,13,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,34,6,11,0,1,0,0,1016,1018,1017,0,1023,1024,1023,0,10,21,12,4,43,92,82,16,11,12,11,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,3,4,"10","1",0
"146",0,29,15,6,0,2,1,0,1021,1025,1023,1,1029,1033,1031,1,-8,1,-5,2,50,84,75,11,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,34,24,9,0,3,2,1,1022,1024,1023,1,1030,1032,1031,1,-3,5,1,3,37,74,51,13,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,32,14,8,0,1,1,0,1021,1023,1022,1,1028,1031,1030,1,-6,1,-4,2,59,85,79,7,3,4,3,0,0,0,0,7,3,3,0,7,0,2,10,10,10,0,0,2,23,36,28,4,1,3,2,1,1016,1019,1017,1,1023,1027,1024,1,0,7,4,2,42,93,57,19,4,6,5,1,0,1,5,10,8,2,0,8,3,3,7,10,8,1,3,8,0,34,17,14,0,2,1,0,1012,1016,1013,1,1019,1024,1021,1,0,0,0,0,94,95,95,0,6,6,6,0,2,3,10,10,10,0,5,8,6,1,7,10,8,1,0,0,14,34,25,6,1,3,2,0,1010,1013,1011,1,1017,1020,1019,1,-1,1,1,1,78,93,86,5,5,6,6,0,0,3,10,10,10,0,5,6,5,0,10,10,10,0,0,1,0,27,4,9,0,2,0,1,1013,1018,1015,2,1021,1025,1023,1,-6,3,-3,3,65,93,88,8,4,5,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,"02","1",0
"146",9,36,24,9,0,3,2,1,1010,1015,1012,1,1017,1022,1019,1,3,9,7,2,33,88,47,18,4,7,5,1,0,1,3,10,8,2,0,8,3,3,8,10,9,1,3,5,0,36,16,13,0,2,1,1,1006,1010,1008,1,1013,1016,1014,1,2,4,3,1,91,95,94,1,7,8,7,0,2,2,10,10,10,0,6,8,7,1,8,10,8,1,0,0,27,34,29,2,1,8,3,2,1008,1015,1012,2,1015,1021,1018,2,3,8,5,2,38,91,58,15,4,8,5,1,1,2,6,10,7,1,6,9,6,1,8,10,9,1,3,3,0,36,11,12,0,2,1,1,1015,1018,1017,1,1022,1025,1023,1,-1,6,2,2,39,82,66,11,4,5,4,0,0,2,0,8,2,3,0,8,2,3,10,10,10,0,3,3,0,34,21,11,0,2,1,1,1015,1018,1016,1,1022,1024,1022,1,1,8,5,3,24,62,43,15,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,23,16,2,1,5,3,1,1010,1014,1012,1,1017,1021,1018,1,3,11,6,2,50,60,55,3,4,7,5,1,0,0,0,7,5,2,0,6,3,2,10,10,10,0,3,2,14,29,23,4,1,6,3,2,1008,1015,1011,2,1015,1021,1018,2,4,15,10,3,43,73,56,9,6,9,7,1,0,0,1,10,6,3,0,8,5,3,10,10,10,0,3,4,"11","1",0
"162",0,32,18,13,0,4,1,1,1006,1007,1007,0,1010,1011,1010,0,22,27,24,2,78,95,90,6,26,28,27,1,0,0,1,5,2,1,0,3,1,1,10,10,10,0,4,0,23,32,27,3,0,3,2,1,1006,1008,1007,1,1010,1012,1011,1,24,27,26,1,73,90,80,6,26,27,26,0,0,0,1,8,5,2,1,3,2,1,10,10,10,0,5,0,0,32,13,14,0,2,1,1,1007,1008,1007,0,1010,1011,1011,0,23,25,24,1,83,93,88,3,26,27,27,0,0,0,6,10,8,1,2,8,5,2,10,10,10,0,0,0,0,34,15,15,0,2,1,1,1006,1008,1007,1,1010,1011,1011,1,24,28,26,1,75,91,84,6,27,28,27,0,0,0,3,10,8,2,0,9,5,2,8,10,8,1,2,0,0,29,17,13,0,3,1,1,1006,1008,1007,1,1010,1012,1011,1,24,28,25,1,71,94,89,6,27,29,28,1,0,0,6,8,7,1,0,8,3,3,10,10,10,0,2,0,27,36,30,3,1,4,2,1,1006,1009,1008,1,1010,1013,1011,1,25,28,27,1,75,93,85,6,29,30,29,0,0,0,5,8,7,1,0,5,2,2,10,12,10,1,7,0,0,29,16,14,0,2,1,1,1009,1011,1010,1,1012,1015,1014,1,24,29,25,2,71,97,90,8,28,29,29,0,0,0,0,5,2,1,0,2,0,1,10,40,15,11,4,0,"07","1",0
"146",0,34,24,10,0,4,2,1,1016,1018,1017,1,1022,1025,1023,1,6,15,12,3,38,84,53,17,6,8,7,1,0,0,0,5,0,2,0,3,0,1,10,10,10,0,6,9,0,34,17,9,0,1,1,0,1017,1018,1018,0,1023,1025,1024,0,2,14,5,3,40,92,81,17,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,36,22,9,0,2,1,1,1014,1016,1015,0,1021,1022,1021,0,5,17,12,4,25,84,46,20,4,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,27,10,10,0,1,0,0,1011,1015,1014,1,1018,1022,1020,1,2,12,5,3,49,97,87,13,7,8,7,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,2,3,0,34,22,10,0,2,1,1,1008,1011,1009,1,1015,1018,1016,1,8,15,12,3,40,85,59,17,7,9,8,1,0,0,1,8,4,2,0,3,0,1,10,10,10,0,6,8,2,34,22,8,1,3,2,1,1006,1009,1007,1,1012,1015,1014,1,9,11,11,1,42,97,81,17,6,12,10,2,2,3,6,10,8,2,5,7,6,1,8,10,9,1,1,2,25,34,30,3,1,5,3,1,1008,1014,1010,2,1014,1021,1017,2,5,12,8,2,34,90,62,20,4,9,7,2,2,6,6,8,7,1,6,8,7,1,8,10,9,1,3,5,"11","0",0
"100",0,32,16,15,0,4,1,2,935,937,936,0,1033,1038,1036,1,-21,-9,-16,4,59,85,80,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,25,34,28,2,1,4,3,1,934,937,936,1,1029,1035,1032,2,-10,-2,-6,3,28,57,42,9,1,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,9,0,32,15,12,0,3,1,1,937,938,937,0,1034,1039,1037,1,-19,-5,-15,4,33,82,70,13,1,2,1,0,0,0,0,1,0,0,0,1,0,0,4,4,4,0,3,3,25,34,28,3,1,5,3,1,935,937,936,0,1030,1033,1031,1,-10,-1,-5,3,27,57,38,11,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,9,25,36,29,3,1,6,3,1,934,936,935,1,1030,1033,1031,1,-10,-1,-7,3,55,80,66,8,2,4,3,1,0,0,0,8,2,3,0,8,2,3,3,4,3,0,1,2,25,32,28,2,1,7,3,2,935,938,936,1,1027,1035,1031,3,-8,2,-2,4,58,90,74,12,3,4,4,0,0,0,0,1,0,0,0,1,0,0,3,3,3,0,6,9,0,34,17,16,0,2,1,1,936,938,937,0,1030,1037,1035,2,-14,1,-10,4,47,89,83,11,2,3,2,1,0,0,0,10,5,3,0,10,2,3,1,4,3,1,1,2,"01","1",0
"115",5,7,5,1,3,6,4,1,993,994,993,0,1019,1019,1019,0,17,22,19,2,71,86,79,5,15,19,17,1,0,0,3,6,4,1,2,5,3,1,10,10,10,0,3,0,2,36,7,9,2,5,4,1,992,993,993,1,1017,1019,1018,1,18,22,20,1,71,85,79,5,17,19,18,1,0,0,4,8,5,1,4,8,5,1,8,10,8,1,3,0,0,36,8,10,0,4,2,1,992,993,992,0,1017,1018,1017,0,18,22,19,2,75,89,82,4,16,20,18,1,0,0,3,7,4,2,3,7,4,2,8,10,8,1,1,0,2,36,16,14,1,4,3,1,990,992,991,1,1015,1017,1016,1,18,21,20,1,77,85,83,3,18,20,19,1,0,0,5,9,7,1,3,9,5,2,8,8,8,0,1,0,2,36,6,9,2,6,3,1,989,990,989,0,1014,1015,1014,0,17,22,19,2,70,88,81,6,17,18,18,0,0,0,2,7,4,2,1,6,2,1,8,10,8,1,4,0,2,7,3,2,3,5,4,1,987,988,987,0,1012,1013,1013,0,17,22,19,2,68,84,75,6,16,18,17,1,0,0,0,3,1,1,0,3,1,1,10,12,11,1,6,0,2,9,3,2,2,4,2,1,985,986,986,0,1011,1012,1011,0,17,23,19,2,66,86,79,6,16,18,17,1,0,0,2,6,4,1,2,6,3,1,8,30,15,10,3,0,"09","1",0
"152",7,36,32,8,2,5,3,1,1018,1021,1020,1,1022,1026,1024,1,4,11,7,2,28,48,39,6,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,36,27,9,0,4,2,1,1019,1020,1020,0,1023,1025,1024,1,6,15,11,3,28,66,42,13,4,6,5,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,0,0,29,18,11,0,2,1,1,1020,1021,1021,0,1024,1026,1025,0,4,14,6,3,45,84,72,11,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,36,25,9,0,3,2,1,1018,1020,1019,1,1022,1024,1023,1,8,18,14,3,31,74,47,16,6,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,34,20,11,0,3,1,1,1019,1020,1019,0,1023,1025,1024,0,5,16,8,3,54,83,74,8,7,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,34,21,13,0,3,1,1,1017,1019,1018,1,1021,1023,1022,1,8,18,14,4,33,74,51,15,7,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,25,13,11,0,2,1,1,1018,1019,1018,0,1022,1023,1023,0,5,17,8,3,50,84,75,10,7,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"11","1",0
"136",2,11,8,3,0,2,1,1,999,1003,1001,1,1017,1021,1019,2,4,6,5,1,85,95,89,3,7,8,8,1,6,12,10,10,10,0,7,8,7,0,7,10,8,1,0,1,7,11,9,1,1,3,2,1,1002,1004,1003,1,1019,1021,1020,1,1,4,3,1,71,93,83,7,6,7,6,0,5,12,10,10,10,0,7,8,7,0,7,10,8,1,0,0,7,11,10,1,1,3,2,1,1000,1005,1003,1,1018,1022,1020,2,0,2,1,1,75,90,82,5,5,6,5,0,5,12,10,10,10,0,7,8,7,0,7,8,7,0,0,3,0,34,7,9,0,2,1,0,1005,1009,1007,1,1023,1027,1025,1,-2,3,0,1,68,92,83,7,5,5,5,0,0,12,4,10,8,2,3,9,7,2,7,10,7,1,0,2,2,27,11,6,1,3,2,1,1006,1009,1008,1,1024,1026,1025,1,-1,3,1,1,58,87,70,8,4,5,5,0,0,1,8,10,9,1,5,9,6,1,8,10,9,1,0,5,0,29,13,14,0,3,1,1,1007,1009,1008,1,1025,1027,1026,1,-2,0,-1,1,70,94,89,8,4,5,5,0,2,4,9,10,9,0,7,8,7,0,8,10,8,1,1,2,27,32,28,2,1,4,2,1,1007,1011,1009,1,1024,1029,1027,2,-4,2,0,2,48,76,61,9,3,4,4,0,0,4,3,7,3,1,0,7,3,2,10,10,10,0,5,11,"02","1",0
